graph_id,num_nodes,num_edges,noise_type,sigma,query_frac,query_pct,delta,attack_auroc,attack_f1,attack_edge_recall
0,42,81,gaussian,0.1,0.1,10,0.001,0.48742569730224045,0.08641975308535284,0.08641975308535284
0,42,81,gaussian,0.1,0.1,10,0.003,0.5236244474927604,0.12345679012193263,0.12345679012193263
0,42,81,gaussian,0.1,0.1,10,0.01,0.4817863130620332,0.07407407407315958,0.07407407407315958
0,42,81,gaussian,0.1,0.1,10,0.03,0.5008382868465173,0.11111111110973937,0.11111111110973937
0,42,81,gaussian,0.1,0.1,10,0.1,0.5397043133668648,0.13580246913412589,0.13580246913412589
0,42,81,gaussian,0.1,0.25,25,0.001,0.4936747447035513,0.049382716048773055,0.04938271604877305
0,42,81,gaussian,0.1,0.25,25,0.003,0.489254686785551,0.08641975308535284,0.08641975308535284
0,42,81,gaussian,0.1,0.25,25,0.01,0.5112025605852766,0.09876543209754611,0.0987654320975461
0,42,81,gaussian,0.1,0.25,25,0.03,0.5665294924554184,0.1604938271585124,0.1604938271585124
0,42,81,gaussian,0.1,0.25,25,0.1,0.6020423715896968,0.2592592592560585,0.2592592592560585
0,42,81,gaussian,0.1,0.5,50,0.001,0.4202865416857186,0.09876543209754611,0.0987654320975461
0,42,81,gaussian,0.1,0.5,50,0.003,0.5026672763298278,0.09876543209754611,0.0987654320975461
0,42,81,gaussian,0.1,0.5,50,0.01,0.571711629324798,0.13580246913412589,0.13580246913412589
0,42,81,gaussian,0.1,0.5,50,0.03,0.5797134583142813,0.1604938271585124,0.1604938271585124
0,42,81,gaussian,0.1,0.5,50,0.1,0.6944063404968754,0.3703703703657979,0.3703703703657979
0,42,81,gaussian,0.1,1.0,100,0.001,0.49001676573693037,0.08641975308535284,0.08641975308535284
0,42,81,gaussian,0.1,1.0,100,0.003,0.47690900777320533,0.08641975308535284,0.08641975308535284
0,42,81,gaussian,0.1,1.0,100,0.01,0.599298887364731,0.17283950617070568,0.17283950617070568
0,42,81,gaussian,0.1,1.0,100,0.03,0.7230605090687395,0.23456790123167198,0.23456790123167198
0,42,81,gaussian,0.1,1.0,100,0.1,0.9143423258649596,0.6049382715974698,0.6049382715974698
1,27,46,gaussian,0.1,0.1,10,0.001,0.46644612476370506,0.15217391304017014,0.15217391304017014
1,27,46,gaussian,0.1,0.1,10,0.003,0.4669187145557656,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,0.1,10,0.01,0.5368620037807185,0.2173913043431002,0.2173913043431002
1,27,46,gaussian,0.1,0.1,10,0.03,0.5349716446124763,0.1956521739087902,0.1956521739087902
1,27,46,gaussian,0.1,0.1,10,0.1,0.5363894139886578,0.23913043477741022,0.23913043477741022
1,27,46,gaussian,0.1,0.25,25,0.001,0.47258979206049145,0.1086956521715501,0.1086956521715501
1,27,46,gaussian,0.1,0.25,25,0.003,0.4853497164461248,0.15217391304017014,0.15217391304017014
1,27,46,gaussian,0.1,0.25,25,0.01,0.486531190926276,0.1086956521715501,0.1086956521715501
1,27,46,gaussian,0.1,0.25,25,0.03,0.5089792060491493,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,0.25,25,0.1,0.584593572778828,0.1956521739087902,0.1956521739087902
1,27,46,gaussian,0.1,0.5,50,0.001,0.49054820415879025,0.15217391304017014,0.15217391304017014
1,27,46,gaussian,0.1,0.5,50,0.003,0.5148865784499055,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,0.5,50,0.01,0.5174858223062382,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,0.5,50,0.03,0.6072778827977315,0.1956521739087902,0.1956521739087902
1,27,46,gaussian,0.1,0.5,50,0.1,0.7887523629489603,0.4347826086862004,0.4347826086862004
1,27,46,gaussian,0.1,1.0,100,0.001,0.45463137996219277,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,1.0,100,0.003,0.4985822306238185,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,1.0,100,0.01,0.5368620037807184,0.1304347826058601,0.1304347826058601
1,27,46,gaussian,0.1,1.0,100,0.03,0.6361058601134216,0.2608695652117202,0.2608695652117202
1,27,46,gaussian,0.1,1.0,100,0.1,0.8681474480151228,0.5869565217263706,0.5869565217263706
2,10,17,gaussian,0.1,0.1,10,0.001,0.5017301038062284,0.2941176470415225,0.2941176470415225
2,10,17,gaussian,0.1,0.1,10,0.003,0.5570934256055364,0.4117647058581314,0.41176470585813146
2,10,17,gaussian,0.1,0.1,10,0.01,0.4740484429065744,0.2941176470415225,0.2941176470415225
2,10,17,gaussian,0.1,0.1,10,0.03,0.532871972318339,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.1,10,0.1,0.4740484429065744,0.2941176470415225,0.2941176470415225
2,10,17,gaussian,0.1,0.25,25,0.001,0.4809688581314879,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.25,25,0.003,0.44809688581314877,0.2941176470415225,0.2941176470415225
2,10,17,gaussian,0.1,0.25,25,0.01,0.5259515570934256,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.25,25,0.03,0.4809688581314879,0.2941176470415225,0.2941176470415225
2,10,17,gaussian,0.1,0.25,25,0.1,0.4844290657439447,0.4117647058581314,0.41176470585813146
2,10,17,gaussian,0.1,0.5,50,0.001,0.3598615916955017,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.5,50,0.003,0.4757785467128028,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.5,50,0.01,0.41868512110726636,0.352941176449827,0.352941176449827
2,10,17,gaussian,0.1,0.5,50,0.03,0.5017301038062283,0.4117647058581314,0.41176470585813146
2,10,17,gaussian,0.1,0.5,50,0.1,0.6418685121107267,0.470588235266436,0.470588235266436
2,10,17,gaussian,0.1,1.0,100,0.001,0.6747404844290658,0.4117647058581314,0.41176470585813146
2,10,17,gaussian,0.1,1.0,100,0.003,0.6089965397923875,0.470588235266436,0.470588235266436
2,10,17,gaussian,0.1,1.0,100,0.01,0.5501730103806228,0.4117647058581314,0.41176470585813146
2,10,17,gaussian,0.1,1.0,100,0.03,0.7612456747404844,0.5294117646747405,0.5294117646747405
2,10,17,gaussian,0.1,1.0,100,0.1,0.7301038062283738,0.5294117646747405,0.5294117646747405
3,24,46,gaussian,0.1,0.1,10,0.001,0.532608695652174,0.17391304347448017,0.17391304347448017
3,24,46,gaussian,0.1,0.1,10,0.003,0.47755198487712675,0.15217391304017014,0.15217391304017014
3,24,46,gaussian,0.1,0.1,10,0.01,0.4867674858223063,0.15217391304017014,0.15217391304017014
3,24,46,gaussian,0.1,0.1,10,0.03,0.48298676748582225,0.17391304347448017,0.17391304347448017
3,24,46,gaussian,0.1,0.1,10,0.1,0.48393194706994325,0.15217391304017014,0.15217391304017014
3,24,46,gaussian,0.1,0.25,25,0.001,0.4191871455576559,0.15217391304017014,0.15217391304017014
3,24,46,gaussian,0.1,0.25,25,0.003,0.5196124763705103,0.1956521739087902,0.1956521739087902
3,24,46,gaussian,0.1,0.25,25,0.01,0.42911153119092627,0.1086956521715501,0.1086956521715501
3,24,46,gaussian,0.1,0.25,25,0.03,0.5047258979206048,0.15217391304017014,0.15217391304017014
3,24,46,gaussian,0.1,0.25,25,0.1,0.584593572778828,0.23913043477741022,0.23913043477741022
3,24,46,gaussian,0.1,0.5,50,0.001,0.5425330812854443,0.1956521739087902,0.1956521739087902
3,24,46,gaussian,0.1,0.5,50,0.003,0.5770321361058601,0.1086956521715501,0.1086956521715501
3,24,46,gaussian,0.1,0.5,50,0.01,0.500945179584121,0.1086956521715501,0.1086956521715501
3,24,46,gaussian,0.1,0.5,50,0.03,0.5997164461247637,0.2173913043431002,0.2173913043431002
3,24,46,gaussian,0.1,0.5,50,0.1,0.6876181474480152,0.34782608694896033,0.34782608694896033
3,24,46,gaussian,0.1,1.0,100,0.001,0.42674858223062384,0.1304347826058601,0.1304347826058601
3,24,46,gaussian,0.1,1.0,100,0.003,0.5103969754253309,0.2608695652117202,0.2608695652117202
3,24,46,gaussian,0.1,1.0,100,0.01,0.47400756143667294,0.1304347826058601,0.1304347826058601
3,24,46,gaussian,0.1,1.0,100,0.03,0.6441398865784499,0.1956521739087902,0.1956521739087902
3,24,46,gaussian,0.1,1.0,100,0.1,0.8199432892249527,0.5217391304234404,0.5217391304234404
4,11,21,gaussian,0.1,0.1,10,0.001,0.5238095238095238,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,0.1,10,0.003,0.4943310657596372,0.42857142855102043,0.42857142855102043
4,11,21,gaussian,0.1,0.1,10,0.01,0.3786848072562359,0.3333333333174603,0.3333333333174603
4,11,21,gaussian,0.1,0.1,10,0.03,0.5238095238095238,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,0.1,10,0.1,0.5306122448979592,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,0.25,25,0.001,0.4648526077097506,0.42857142855102043,0.42857142855102043
4,11,21,gaussian,0.1,0.25,25,0.003,0.45124716553287986,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,0.25,25,0.01,0.4829931972789116,0.3333333333174603,0.3333333333174603
4,11,21,gaussian,0.1,0.25,25,0.03,0.5748299319727891,0.42857142855102043,0.42857142855102043
4,11,21,gaussian,0.1,0.25,25,0.1,0.691609977324263,0.5238095237845805,0.5238095237845805
4,11,21,gaussian,0.1,0.5,50,0.001,0.6666666666666667,0.5238095237845805,0.5238095237845805
4,11,21,gaussian,0.1,0.5,50,0.003,0.5034013605442176,0.42857142855102043,0.42857142855102043
4,11,21,gaussian,0.1,0.5,50,0.01,0.5294784580498866,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,0.5,50,0.03,0.6802721088435375,0.42857142855102043,0.42857142855102043
4,11,21,gaussian,0.1,0.5,50,0.1,0.8798185941043084,0.7619047618684808,0.7619047618684808
4,11,21,gaussian,0.1,1.0,100,0.001,0.4104308390022675,0.3809523809342404,0.3809523809342404
4,11,21,gaussian,0.1,1.0,100,0.003,0.5079365079365079,0.3809523809342404,0.3809523809342404
4,11,21,gaussian,0.1,1.0,100,0.01,0.6349206349206349,0.47619047616780047,0.47619047616780047
4,11,21,gaussian,0.1,1.0,100,0.03,0.6893424036281179,0.5714285714013605,0.5714285714013605
4,11,21,gaussian,0.1,1.0,100,0.1,0.909297052154195,0.7619047618684808,0.7619047618684808
5,336,816,gaussian,0.1,0.1,10,0.001,0.4989810109092657,0.017156862745077012,0.017156862745077012
5,336,816,gaussian,0.1,0.1,10,0.003,0.4933168733179547,0.02573529411761552,0.02573529411761552
5,336,816,gaussian,0.1,0.1,10,0.01,0.5229020989523261,0.019607843137230872,0.019607843137230872
5,336,816,gaussian,0.1,0.1,10,0.03,0.5175578503460206,0.026960784313692452,0.026960784313692452
5,336,816,gaussian,0.1,0.1,10,0.1,0.5357044165705498,0.08210784313715427,0.08210784313715427
5,336,816,gaussian,0.1,0.25,25,0.001,0.504867418781238,0.020833333333307804,0.020833333333307804
5,336,816,gaussian,0.1,0.25,25,0.003,0.5068453239138794,0.013480392156846226,0.013480392156846226
5,336,816,gaussian,0.1,0.25,25,0.01,0.5115700692041523,0.013480392156846226,0.013480392156846226
5,336,816,gaussian,0.1,0.25,25,0.03,0.5581386966551325,0.04044117647053867,0.04044117647053867
5,336,816,gaussian,0.1,0.25,25,0.1,0.6280892565359476,0.12009803921553909,0.12009803921553909
5,336,816,gaussian,0.1,0.5,50,0.001,0.49404450812187617,0.014705882352923154,0.014705882352923154
5,336,816,gaussian,0.1,0.5,50,0.003,0.535865111976163,0.022058823529384732,0.022058823529384732
5,336,816,gaussian,0.1,0.5,50,0.01,0.5472054017685506,0.018382352941153944,0.018382352941153944
5,336,816,gaussian,0.1,0.5,50,0.03,0.5873694913014225,0.03063725490192324,0.03063725490192324
5,336,816,gaussian,0.1,0.5,50,0.1,0.7227824034025375,0.1323529411763084,0.1323529411763084
5,336,816,gaussian,0.1,1.0,100,0.001,0.49553657247212607,0.018382352941153944,0.018382352941153944
5,336,816,gaussian,0.1,1.0,100,0.003,0.5016820453671664,0.018382352941153944,0.018382352941153944
5,336,816,gaussian,0.1,1.0,100,0.01,0.561115316224529,0.03063725490192324,0.03063725490192324
5,336,816,gaussian,0.1,1.0,100,0.03,0.6335769295463284,0.04044117647053867,0.04044117647053867
5,336,816,gaussian,0.1,1.0,100,0.1,0.8596167940215301,0.2046568627448472,0.20465686274484723
6,108,243,gaussian,0.1,0.1,10,0.001,0.5227522904706261,0.0493827160491795,0.049382716049179494
6,108,243,gaussian,0.1,0.1,10,0.003,0.49603718945282727,0.053497942386611125,0.053497942386611125
6,108,243,gaussian,0.1,0.1,10,0.01,0.5147589290250469,0.06995884773633762,0.06995884773633762
6,108,243,gaussian,0.1,0.1,10,0.03,0.5117614184829549,0.07818930041120087,0.07818930041120087
6,108,243,gaussian,0.1,0.1,10,0.1,0.5637521380548358,0.13991769547267524,0.13991769547267524
6,108,243,gaussian,0.1,0.25,25,0.001,0.49997459736828737,0.07407407407376924,0.07407407407376924
6,108,243,gaussian,0.1,0.25,25,0.003,0.5014394824637166,0.028806584362021374,0.028806584362021374
6,108,243,gaussian,0.1,0.25,25,0.01,0.5046571491473183,0.0493827160491795,0.049382716049179494
6,108,243,gaussian,0.1,0.25,25,0.03,0.5702382766854647,0.11111111111065387,0.11111111111065387
6,108,243,gaussian,0.1,0.25,25,0.1,0.6090534979423868,0.263374485595624,0.263374485595624
6,108,243,gaussian,0.1,0.5,50,0.001,0.4536994699317516,0.053497942386611125,0.053497942386611125
6,108,243,gaussian,0.1,0.5,50,0.003,0.5084421412725025,0.0493827160491795,0.049382716049179494
6,108,243,gaussian,0.1,0.5,50,0.01,0.5343866957950177,0.04526748971174787,0.04526748971174787
6,108,243,gaussian,0.1,0.5,50,0.03,0.6076648207420956,0.12345679012294875,0.12345679012294875
6,108,243,gaussian,0.1,0.5,50,0.1,0.7454910328710054,0.3744855967062779,0.37448559670627785
6,108,243,gaussian,0.1,1.0,100,0.001,0.467374553337059,0.032921810699453,0.032921810699453
6,108,243,gaussian,0.1,1.0,100,0.003,0.5362156852783282,0.05761316872404275,0.05761316872404275
6,108,243,gaussian,0.1,1.0,100,0.01,0.5632610205083913,0.0493827160491795,0.049382716049179494
6,108,243,gaussian,0.1,1.0,100,0.03,0.6663279649104981,0.11934156378551712,0.11934156378551712
6,108,243,gaussian,0.1,1.0,100,0.1,0.8580331589019289,0.4732510288046369,0.4732510288046369
7,154,281,gaussian,0.1,0.1,10,0.001,0.5078076518787755,0.0462633451955649,0.0462633451955649
7,154,281,gaussian,0.1,0.1,10,0.003,0.49628297513962594,0.0462633451955649,0.0462633451955649
7,154,281,gaussian,0.1,0.1,10,0.01,0.5127467990526969,0.0427046263343676,0.0427046263343676
7,154,281,gaussian,0.1,0.1,10,0.03,0.5406593128253189,0.0498220640567622,0.0498220640567622
7,154,281,gaussian,0.1,0.1,10,0.1,0.5445599726447233,0.1138790035583136,0.1138790035583136
7,154,281,gaussian,0.1,0.25,25,0.001,0.49397803979179594,0.0391459074731703,0.0391459074731703
7,154,281,gaussian,0.1,0.25,25,0.003,0.53702460708451,0.0498220640567622,0.0498220640567622
7,154,281,gaussian,0.1,0.25,25,0.01,0.5129114372918275,0.0462633451955649,0.0462633451955649
7,154,281,gaussian,0.1,0.25,25,0.03,0.5735806284114943,0.0960854092523271,0.0960854092523271
7,154,281,gaussian,0.1,0.25,25,0.1,0.6290003925988777,0.1992882562270488,0.1992882562270488
7,154,281,gaussian,0.1,0.5,50,0.001,0.5292359519256341,0.0320284697507757,0.0320284697507757
7,154,281,gaussian,0.1,0.5,50,0.003,0.5598459999240132,0.0391459074731703,0.0391459074731703
7,154,281,gaussian,0.1,0.5,50,0.01,0.616633527944175,0.0462633451955649,0.0462633451955649
7,154,281,gaussian,0.1,0.5,50,0.03,0.6452805815529185,0.0889679715299325,0.08896797152993251
7,154,281,gaussian,0.1,0.5,50,0.1,0.8027760540013423,0.3345195729525462,0.3345195729525462
7,154,281,gaussian,0.1,1.0,100,0.001,0.5669887666062993,0.0142348754447892,0.0142348754447892
7,154,281,gaussian,0.1,1.0,100,0.003,0.5496637580577753,0.0284697508895784,0.0284697508895784
7,154,281,gaussian,0.1,1.0,100,0.01,0.5700029128303846,0.0427046263343676,0.0427046263343676
7,154,281,gaussian,0.1,1.0,100,0.03,0.7453932954243234,0.1138790035583136,0.1138790035583136
7,154,281,gaussian,0.1,1.0,100,0.1,0.8986968250148808,0.39501779359290023,0.3950177935929003
8,19,33,gaussian,0.1,0.1,10,0.001,0.4403122130394857,0.09090909090633612,0.0909090909063361
