graph_id,num_nodes,num_edges,delta,attack_auroc,attack_f1,attack_precision,attack_recall,threshold,mode
456,31,56,0.01,0.49999999999999994,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.0014353394508361816,baseline_fixed_delta
456,31,56,0.0001,0.49904336734693877,0.5185185185089164,0.5384615384511835,0.4999999999910715,1.4334917068481445e-05,adaptive_delta
456,31,56,0.0001,0.49904336734693877,0.5185185185089164,0.5384615384511835,0.4999999999910715,1.4334917068481445e-05,search_grid
456,31,56,0.0005,0.49553571428571425,0.5185185185089164,0.5384615384511835,0.4999999999910715,7.176399230957031e-05,search_grid
456,31,56,0.001,0.4926658163265306,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.00014349818229675293,search_grid
456,31,56,0.002,0.4920280612244898,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.00028705596923828125,search_grid
456,31,56,0.005,0.4961734693877551,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.0007176697254180908,search_grid
456,31,56,0.01,0.49362244897959184,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.0014353394508361816,search_grid
456,31,56,0.02,0.48915816326530615,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.0028675198554992676,search_grid
456,31,56,0.05,0.49107142857142855,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.007161438465118408,search_grid
456,31,56,0.1,0.49107142857142855,0.5185185185089164,0.5384615384511835,0.4999999999910715,0.014365822076797485,search_grid
457,82,181,0.01,0.9604407679863252,0.6066350710871724,0.5311203319480037,0.7071823204380819,0.001985520124435425,baseline_fixed_delta
457,82,181,0.0001,0.9587466805042582,0.6075268817171638,0.5916230366461172,0.6243093922617442,2.5570392608642578e-05,adaptive_delta
457,82,181,0.0001,0.9587466805042582,0.6075268817171638,0.5916230366461172,0.6243093922617442,2.5570392608642578e-05,search_grid
457,82,181,0.0005,0.9679344342358291,0.6075268817171638,0.5916230366461172,0.6243093922617442,0.00012794137001037598,search_grid
457,82,181,0.001,0.9565642074417753,0.6075268817171638,0.5916230366461172,0.6243093922617442,0.00025588274002075195,search_grid
457,82,181,0.002,0.9697200940142242,0.6066350710871724,0.5311203319480037,0.7071823204380819,0.00039708614349365234,search_grid
457,82,181,0.005,0.9815634443393059,0.6075268817171638,0.5916230366461172,0.6243093922617442,0.0012795031070709229,search_grid
457,82,181,0.01,0.9725893592991667,0.6066350710871724,0.5311203319480037,0.7071823204380819,0.001985520124435425,search_grid
457,82,181,0.02,0.975702817374317,0.6075268817171638,0.5916230366461172,0.6243093922617442,0.00511854887008667,search_grid
457,82,181,0.05,0.9741766124355178,0.6066350710871724,0.5311203319480037,0.7071823204380819,0.00992816686630249,search_grid
457,82,181,0.1,0.9844021855254723,0.6066350710871724,0.5311203319480037,0.7071823204380819,0.01985958218574524,search_grid
458,29,50,0.01,0.9884,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.0029026567935943604,baseline_fixed_delta
458,29,50,0.0001,0.99,0.8631578947186704,0.9111111110908643,0.8199999999836001,2.9087066650390625e-05,adaptive_delta
458,29,50,0.0001,0.99,0.8631578947186704,0.9111111110908643,0.8199999999836001,2.9087066650390625e-05,search_grid
458,29,50,0.0005,0.9843999999999999,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.00014515221118927002,search_grid
458,29,50,0.001,0.9984000000000001,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.00029024481773376465,search_grid
458,29,50,0.002,0.9955999999999999,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.0005804896354675293,search_grid
458,29,50,0.005,0.9816,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.0014512985944747925,search_grid
458,29,50,0.01,0.9952,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.0029026567935943604,search_grid
