graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
4,11,21,gaussian,0.2,0.5691609977324261,0.42857142855102043,0.42857142855102043,0.6363636255264282
4,11,21,gaussian,0.3,0.49206349206349204,0.42857142855102043,0.42857142855102043,0.6363636255264282
4,11,21,laplace,0.0,0.997732426303855,0.9523809523356009,0.9523809523356009,0.6363636255264282
4,11,21,laplace,0.05,0.5192743764172336,0.42857142855102043,0.42857142855102043,0.6363636255264282
4,11,21,laplace,0.1,0.6802721088435373,0.5714285714013605,0.5714285714013605,0.7272727489471436
4,11,21,laplace,0.2,0.4467120181405896,0.3809523809342404,0.3809523809342404,0.6363636255264282
4,11,21,laplace,0.3,0.5668934240362811,0.47619047616780047,0.47619047616780047,0.7272727489471436
5,336,816,gaussian,0.0,0.9976256127450981,0.7598039215676964,0.7598039215676964,0.8095238208770752
5,336,816,gaussian,0.05,0.6616956218762015,0.02941176470584631,0.02941176470584631,0.7916666865348816
5,336,816,gaussian,0.1,0.5714028258362168,0.02328431372546166,0.02328431372546166,0.7946428656578064
5,336,816,gaussian,0.2,0.5575725081699345,0.0330882352940771,0.0330882352940771,0.8035714626312256
5,336,816,gaussian,0.3,0.5412431516724336,0.013480392156846226,0.013480392156846226,0.8154761791229248
5,336,816,laplace,0.0,0.9974093497693195,0.7598039215676964,0.7598039215676964,0.8095238208770752
5,336,816,laplace,0.05,0.6177056300461361,0.024509803921538596,0.024509803921538592,0.7976190447807312
5,336,816,laplace,0.1,0.5671856978085352,0.020833333333307804,0.020833333333307804,0.7976190447807312
5,336,816,laplace,0.2,0.5400071486928104,0.018382352941153944,0.018382352941153944,0.800595223903656
5,336,816,laplace,0.3,0.5242079368512111,0.02328431372546166,0.02328431372546166,0.800595223903656
6,108,243,gaussian,0.0,0.987993022743823,0.7818930041120087,0.7818930041120087,0.8796296119689941
6,108,243,gaussian,0.05,0.5895442767870751,0.065843621398906,0.065843621398906,0.8888888955116272
6,108,243,gaussian,0.1,0.52896746769632,0.0493827160491795,0.049382716049179494,0.9074074029922485
6,108,243,gaussian,0.2,0.550458094125218,0.032921810699453,0.032921810699453,0.9166666865348816
6,108,243,gaussian,0.3,0.5238361360903656,0.04526748971174787,0.04526748971174787,0.8888888955116272
6,108,243,laplace,0.0,0.9884841402902675,0.7818930041120087,0.7818930041120087,0.8796296119689941
6,108,243,laplace,0.05,0.5540737353723179,0.05761316872404275,0.05761316872404275,0.8796296119689941
6,108,243,laplace,0.1,0.537231790546834,0.032921810699453,0.032921810699453,0.8981481790542603
6,108,243,laplace,0.2,0.47635014987552715,0.041152263374316246,0.041152263374316246,0.8981481790542603
6,108,243,laplace,0.3,0.5114904570780199,0.053497942386611125,0.053497942386611125,0.8796296119689941
7,154,281,gaussian,0.0,0.9841567356036525,0.6939501779334735,0.6939501779334735,0.8831169009208679
7,154,281,gaussian,0.05,0.6479781157786755,0.0782918149463406,0.0782918149463406,0.8896104097366333
7,154,281,gaussian,0.1,0.6117070452501867,0.0498220640567622,0.0498220640567622,0.8896104097366333
7,154,281,gaussian,0.2,0.5581236306531072,0.0320284697507757,0.0320284697507757,0.8571428656578064
7,154,281,gaussian,0.3,0.5542482997935689,0.0533807829179595,0.0533807829179595,0.8636363744735718
7,154,281,laplace,0.0,0.990387659730753,0.6939501779334735,0.6939501779334735,0.8831169009208679
7,154,281,laplace,0.05,0.602474639378934,0.0391459074731703,0.0391459074731703,0.8961039185523987
7,154,281,laplace,0.1,0.6123022758070441,0.0462633451955649,0.0462633451955649,0.9025974273681641
7,154,281,laplace,0.2,0.6052481604842896,0.035587188611973,0.035587188611973,0.8571428656578064
7,154,281,laplace,0.3,0.5379617785995618,0.0177935943059865,0.0177935943059865,0.8636363744735718
8,19,33,gaussian,0.0,0.8411386593204776,0.6969696969485768,0.6969696969485768,0.8421052694320679
8,19,33,gaussian,0.05,0.751147842056933,0.5151515151359045,0.5151515151359045,0.8421052694320679
8,19,33,gaussian,0.1,0.5858585858585859,0.24242424241689625,0.24242424241689625,0.8421052694320679
8,19,33,gaussian,0.2,0.6189164370982553,0.21212121211478424,0.21212121211478424,0.8421052694320679
8,19,33,gaussian,0.3,0.5904499540863177,0.24242424241689625,0.24242424241689625,0.8421052694320679
8,19,33,laplace,0.0,0.8668503213957759,0.6969696969485768,0.6969696969485768,0.8421052694320679
8,19,33,laplace,0.05,0.6978879706152434,0.3939393939274564,0.3939393939274564,0.8421052694320679
8,19,33,laplace,0.1,0.5482093663911846,0.33333333332323234,0.33333333332323234,0.7894737124443054
8,19,33,laplace,0.2,0.5803489439853076,0.18181818181267223,0.1818181818126722,0.8421052694320679
8,19,33,laplace,0.3,0.32966023875114786,0.09090909090633612,0.0909090909063361,0.7894737124443054
9,11,19,gaussian,0.0,0.9861495844875346,0.9473684210027701,0.9473684210027701,0.9090909361839294
9,11,19,gaussian,0.05,0.556786703601108,0.5263157894459833,0.5263157894459833,0.9090909361839294
9,11,19,gaussian,0.1,0.5955678670360111,0.47368421050138504,0.47368421050138504,0.9090909361839294
9,11,19,gaussian,0.2,0.6121883656509696,0.4210526315567867,0.4210526315567867,0.9090909361839294
9,11,19,gaussian,0.3,0.5401662049861495,0.3684210526121884,0.3684210526121884,0.7272727489471436
9,11,19,laplace,0.0,0.9916897506925209,0.9473684210027701,0.9473684210027701,0.9090909361839294
9,11,19,laplace,0.05,0.628808864265928,0.4210526315567867,0.4210526315567867,0.9090909361839294
9,11,19,laplace,0.1,0.6066481994459834,0.4210526315567867,0.4210526315567867,0.9090909361839294
9,11,19,laplace,0.2,0.44044321329639885,0.26315789472299167,0.26315789472299167,0.9090909361839294
9,11,19,laplace,0.3,0.5207756232686981,0.3684210526121884,0.3684210526121884,1.0
10,20,32,gaussian,0.0,0.9833984375,0.7499999999765627,0.7499999999765626,0.949999988079071
10,20,32,gaussian,0.05,0.759765625,0.34374999998925787,0.34374999998925787,0.949999988079071
10,20,32,gaussian,0.1,0.537109375,0.281249999991211,0.281249999991211,0.949999988079071
10,20,32,gaussian,0.2,0.482421875,0.2187499999931641,0.21874999999316408,0.949999988079071
10,20,32,gaussian,0.3,0.625,0.3124999999902344,0.3124999999902344,0.949999988079071
